Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ES 242,Data Structures and Algorithms I,3,0,1.5,4,"Manoj D Gupta(I+L),Anup Kalbalia(L)",,,,"G1,G2
(10/103)",,"I1
(10/104,10/105,10/203,10/204)",Course Webpage,,,,
ES 244,"Signals, Systems, and Random Processes",3,1.5,0,4,Uttama Lahiri(I+T),,,,"D1,D2
(10/103)","H2
(10/103)",,,,,,
ES 221,Mechanics of Solids,3,1.5,0,4,Manish Kumar(I+T),,,,"G1,G2
(7/210)","A1
(7/101)",,Course Plan,,,,
CE 203,Geospatial Engineering,1.5,0,3,3,Vimal Mishra(I+L),,,,"E2
(7/101)",,"J1,L1
(CE Lab)",,,,,
EE 223,Electrical Machines,2,1,1.5,4,Ragavan K.(I+T+L),,,,"G1,G2
(7/209)",,"I1,H1,J1,N1
(EE Lab)",,,,,
MSE 204,Transport Phenomena in Materials Engineering,3,1,0,4,"Anagh Bhaumik(I+T),Prafull Pandey(I+T)",,,,"G1,G2
(11/204,11/205)","A1
(11/204,11/205)",,,,,,
ME 206,Statics and Dynamics,2,1,1.5,4,Harish J Palanthandalam-Madapusi(I+T),,,,"G1,G2
(Jagdish Patel Learning Theatre)",,"I1
(ME Lab)",Course Plan,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,Madhav Kiritkumar Pathak(I+L),,,,"C2,B2
(Surendra C Sheth Learning Theatre)",,"L2,K2
(EE Lab)",Course Plan,,,,
PE 103,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 103,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
ES XXX,Science Basket Course,-,-,-,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Artificial Intelligence,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CS 328,Introduction to Data Science,3,1,0,4,Nirmal Kumar Sancheti(I+T),,,,"N1,N2
(10/103)","L2
(10/103)",,CS328 Introduction to Data Science,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,Manisha Padala(I),,,,"C1,C2
(10/103)",,,Course Website,,,,
ES 678,Machine Learning (ES 335),3,1.5,0,4,"Udit Bhatia(I+T),Krishna Prasad Miyapuram(T)",,,,"F1,F2
(10/103)","B1
(Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre)",,Course Website,,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Artificial Intelligence,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CL 313,Chemical Reaction Engineering - II,2,1,0,3,Kabeer Jasuja(I+T),,,,"G1,G2
(7/108)","H1
(7/109)",,,,,,
CL 314,Separation Processes - I,2,1,0,3,Karthik Subramaniam Pushpavanam(I+T),,,,"E1,E2
(10/102)","K2
(10/102)",,,,,,
