Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CL 602,Advanced Thermodynamics,3,1,0,4,Soumajit Dutta(I+T),,,,"A1,A2
(7/203)","L2
(7/203)",,CL 602 Advanced Thermodynamics,,,,
CL 604,Advanced Reaction Engineering,3,1,0,4,Chinmay Ghoroi(I+T),,,,"C1,C2
(7/107)","H2
(7/107)",,,,,,
CL 633,Applications of AI in ChE,3,1,0,4,Nitin U. Padhiyar(I+T),,,,"H1,N2
(7/108)","J2
(7/109)",,https://docs.google.com/spreadsheets/d/1Zx1kEtyE5g7EDXIoiRjVp6-v9PuVhmZDzdBRDxTgGwI/edit?gid=1235957912#gid=1235957912,,,,
ES 604,Engineering Optimization,3,0,0,4,Sai Praneeth(I),,,,"G1,G2
(7/208)",,,,,,,
ES 662,"Flexible Electronics: Materials, Methods and Devices",3,0,0,4,Biswajit Saha(I),,,,"I1,I2
(7/203)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/bsaha_iitgn_ac_in/IQAgc6De535kTI5BHvkyh-otASKy5pbIjDA1L5r_GBQxboI?e=Qyd2Li,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Computer Science and Engineering																	",,,,,,,,,,,,,,,,,
ES 248,Introduction to Data Structures and Algorithms,1.5,0,3,3,Anup Kalbalia(I+L),,,,"F1
(11/101)",,"K2,L2
(10/203)",,,,,
CS 435,Human-Computer Interaction,3,0,0,4,Yogesh Kumar Meena(I),,,,"J1,P2
(11/101)",,,Course webpage,,,,
CS 610,Algorithms,3,0,0,4,Bireswar Das(I),,,,"G1,G2
(7/109)",,,,,,,
CS 612,Computer Systems,3,0,0,4,"Sameer G Kulkarni(I),Abhishek Bichhawat(I)",,,,"A1,A2
(13/124,13/125)",,,CS 612 Computer Systems - Course plan and Syllabus.docx,,,,
CS 613,Natural Language Processing,3,0,0,4,Mayank Singh(I),,,,"F1,F2
(Jayshree S Sheth Learning Theatre)",,,Course Webpage,,,,
CS 619,CS Theory Toolkit,3,0,0,4,Anirban Dasgupta(I),,,,"L1,L2
(13/124)",,,,,,,
CS 620,Incentives and Machine learning ,3,0,0,4,Manisha Padala(I),,,,"K1,K2
(13/124)",,,Course website,,,,
ES 667,Deep Learning,3,0,0,4,Nipun Batra(I),,,,"E1,E2
(Jayshree S Sheth Learning Theatre)",,,Course webpage,,,,
CS 691-XVII,Special Topics in Computer Science: Combinatorial and Computational Aspects of Games,3,0,0,4,,,,,,,,Combinatorial Game Theory Course Plan,,,,
CS 622,Combinatorial Game Theory,3,0,0,4,Jyothi Krishnan(I),,,,"M1,M2
(Jayshree S Sheth Learning Theatre)",,,,,,,
CS 691-XVIII,Special Topics Course: Algebraic Complexity theory,3,0,0,4,Balagopal Komarath(I),,,,"M1,M2
(7/207)",,,ACT Course Plan (2026-27 sem 1),,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Maritime Engineering                                                                                                                                        ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
EH 304,"Drone Data Acquisition, Processing and Interpretation",1,0,2,2,Pankaj Khanna(I+L),,,,"G1
(7/104)",,"C1,F1
(10/104)",,,,,
MTE 602,Analysis and Design of Marine Structures,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"N1,N2
(7/110)",,,,,,,
MTE 603,Dynamics of Maritime Structures,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"A1,A2
(7/110)",,,,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Electrical Engineering																	",,,,,,,,,,,,,,,,,
EE 617,VLSI Design,3,0,0,4,Joycee Mekie(I),,,,"D1,D2
(7/210)",,,Course plan,,,,
EE 644,Physics of Transistors,3,0,0,4,Sandip Lashkare(I),,,,"A1,A2
(7/103)",,,Course Plan,,,,
EE 648,Dynamic Behaviour of Electric Machines,3,0,1.5,5,Ragavan K.(I+L),,,,"C1,C2
(13/124)",,"I2
(EE Lab)",,,,,
ES 616,Digital Control Systems,3,1,0,4,S. Rajendran(I+T),,,,"E1,E2
(7/210)","B1
(7/110)",,Course plan,,,,
ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,Jhuma Saha(I),,,,"N1,N2
(7/101)",,,Course plan,,,,
EE 651,CMOS Analog IC Design,3,0,0,4,Tarun Kumar Agarwal(I),,,,"F1,F2
(7/101)",,,Course Plan,,,,
ES 657,Biomedical Ultrasound,3,0,0,4,Himanshu Shekhar(I),,,,"J1,J2
(7/210)",,,,,,,
EE 659,Smart Grid,3,0,0,4,Naran M Pindoriya(I),,,,"G1,G2
(13/124)",,,,,,,
EE 663,Advanced Wireless Communications,3,0,0,4,Raghunandan M. Rao(I),,,,"L1,L2
(13/125)",,,,,,,
EE 664,High Frequency Engineering,3,0,0,4,Kamla Prasan Ray(I),,,,"K1,K2
(13/125)",,,course Plan,,,,BS
ES 666,Computer Vision,3,0,0,4,Shanmuganathan Raman(I),,,,"C1,C2
(11/101)",,,Course Plan ES 666 Computer Vision - 2026-27,,,,
ES 668,5G and Beyond,3,0,0,4,"Ravi Hegde(I), Sameer Kulkarni(I)",,,,"M1,M2
(11/101)",,,Course Plan,,,,
ES 675,Photonics – Principles and Applications,3,0,0,4,Arup Lal Chakraborty(I),,,,"M1,M2
(7/108)",,,,,,,
EE 662,Mixed Signal IC Design,3,0,0,4,Dinesh Kumar Sharma(I),,,,"N1,N2
(7/105)",,,,,,,
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,3,0,0,4,Anand Kumar(I),,,,"M1,M2
(7/208)",,,Course Plan,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Mechanical Engineering																	",,,,,,,,,,,,,,,,,
ME 491-I,Special Topics in Mechanical Engineering: Nondestructive Testing/Evaluation,3,0,0,4,Prabhat Munshi(I),,,,"M1,M2
(7/106)",,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,4,Vinod Narayanan(I+T),,,,"G1,G2
(7/105)","A1
(7/106)",,Course plan,,,,
ME 605,Computational Fluid Dynamics,3,1.5,0,4,Uddipta Ghosh(I+T),,,,"E1,E2
(7/103)","B1
(7/210)",,,,,,
ES 656,Human-Robot Interaction,3,0,0,4,Vineet Vashista(I),,,,"L1,L2
(7/201)",,,https://drive.google.com/file/d/1cfkjeuITM2BsI-oMOnxtCMuwbTSMZ1S9/view?usp=drive_link,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,,,"D1,D2
(7/102)",,,course plan,,,,
ME 639,Introduction to Robotics,3,0,1.5,5,Venkata Madhukanth Vadali(I+L),,,,"E1,E2
(11/205)",,"N2
(ME Lab)",,,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,K.R. Jayaprakash(I),,,,"G1,G2
(13/125)",,,,,,,
ME 648,Mathematical Tools for Mechanical Engineers,3,1,0,4,Dilip S. Sundaram(I+T),,,,"C1,C2
(7/210)","H2
(7/210)",,,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Materials Engineering																	",,,,,,,,,,,,,,,,,
MSE 352,Material Characterization Techniques,1.5,0,3,4,Emila Panda(I+L),,,,"A2
(7/210)",,"L1,N1
(MSE Lab)",,,,,
MSE 604,Deformation Behaviour of Materials,3,0,0,4,Pradipta Ghosh(I),,,,"K1,K2
(7/206)",,,,,,,
MSE 629,Structure and Defects of Materials,3,0,0,4,Prafull Pandey(I),,,,"F1,F2
(10/102)",,,,,,,
MSE 632,Characterization of Materials,3,0,3,4,Sriharitha Rowthu(I+L),,,,"G1,G2
(7/107)",,"I2,M1
(MSE Lab)",,,,,
MSE 636,AI for Materials Engineering,3,0,1.5,4,Raghavan Ranganathan(I+L),,,,"E1,E2
(7/204)",,"H1
(MSE Lab)",,,,,
MSE 624,Thermo-mechanical Processing,3,0,0,4,Amit Arora(I),,,,"D1,D2
(7/201)",,,,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Chemistry																	",,,,,,,,,,,,,,,,,
CH 302,Electrochemical Science and Engineering,3,1,0,4,Sudhanshu Sharma(I+T),,,,"I1,I2
(13/124)","J1
(13/124)",,Course Plan,,,,BS
CH 506,Physical Organic Chemistry,3,0,0,4,Kuljeet Kaur(I),,,,"A1,A2
(7/107)",,,Course Plan,,,,BS
CH 511,Quantum Chemistry,3,0,0,4,Anirban Mondal(I),,,,"F1,F2
(7/202)",,,,,,,BS
CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran(I),,,,"C1,C2
(7/106)",,,https://docs.google.com/document/d/19iUzT5ju2-TF4lM4pmuEiSdFvsBtT20DGIyXNMBUdi8/edit?tab=t.0,,,,BS
CH 528,Transition Metal Chemistry,3,0,0,4,Priyabrata Ghana(I),,,,"J1,J2
(7/107)",,,,,,,BS
CH 529,AI in Chemistry,3,0,0,4,Anirban Mondal(I),,,,,,,Course_Plan_Quantum_Chemistry.docx.pdf,,,,
CH 635,Chemical Crystallography,2,0,1,4,Vijay Thiruvenkatam(I+L),,,,"M1,M2
(7/205)",,"I2
(CH Lab)",Course Plan,,,,BS
CH 616,Applied Chemical Biology,3,0,0,4,Sudipta Basu(I),,,,"D1,D2
(7/205)",,,https://drive.google.com/file/d/1OqwohVRh8yTzIjdk5C7XIcQUPtFk3UbA/view?usp=sharing,,,,BS
CH 622,Interpretative Organic Spectroscopy,3,0,0,4,Sriram V Gundimeda(I),,,,"E1,E2
(11/101)",,,,,,,BS
CH 624,Molecular Spectroscopy,3,0,0,4,Saumyakanti Khatua(I),,,,"J1,J2
(13/125)",,,https://drive.google.com/file/d/1o_4bi7BrdQ1NOSvZYXaXR39-2JJ1AgvH/view?usp=sharing,,,,BS
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,4,Chandrakumar Appayee(I),,,,"D1,D2
(11/205)",,,,,,,BS
CH 627,Metabolism & Biosynthesis,3,0,0,4,Bhaskar Datta(I),,,,"K1,K2
(11/204)",,,Course Policy & Syllabus,,,,BS
CH 634,Introduction to Molecular Dynamics,1.5,0,3,4,Sairam Swaroop Mallajosyula(I+L),,,,"M1
(7/204)",,"I1,K1
(CH Lab)",,,,,BS
CH 636,Statistical thermodynamics and its applications in chemistry,3,0,0,4,Sairam Swaroop Mallajosyula(I),,,,"N1,N2
(13/124)",,,,,,,BS
CH 637,Organic Electronics,3,0,0,4,Partha Pratim Roy(I),,,,"J1,J2
(7/105)",,,,,,,BS
CH 640,Bio-inorganic Chemistry,3,0,0,4,Biswajit Mondal(I),,,,"L1,L2
(7/101)",,,Course plan for CH640_Bio-inorganic Chemistry.pdf,,,,BS
CH 641,Chemistry of Energy Materials,3,0,0,4,Manisha Samanta(I),,,,"M1,M2
(7/210)",,,CH641-course-plan-2025 -Samanta.pdf,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Mathematics																	",,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1.5,0,4,Akshaa Vatwani(I+T),,,,"E1,E2
(7/107)","B1
(7/202)",,,,,,BS
MA 504 (A),Linear Algebra,3,1.5,0,4,Bipul Saurabh(I+T),,,,"D1,D2
(7/109)","H2
(10/102)",,Course Plan,,,,
MA 509 (A),Real Analysis of One Variable ,3,1.5,0,4,Chetan Pahlajani(I+T),,,,"C1,C2
(10/102)","B2
(10/102)",,Course Plan,,,,
MA 510,Topology,3,1.5,0,4,Sanjaykumar Amrutiya(I+T),,,,"G1,G2
(11/102)","A1
(7/108)",,,,,,BS
MA 513,AI and Mathematics,3,1.5,0,4,Madhu Gupta(I+T),,,,"M1,M2
(7/104)","J1
(7/103)",,Course Plan,,,,
MA 605,Commutative Algebra,3,1.5,0,4,Jugal K. Verma(I+T),,,,"J1,J2
(7/106)","I2
(7/106)",,,,,,
MA 623,Number Theory,3,1.5,0,4,Atul Abhay Dixit(I+T),,,,"L1,L2
(7/202)","K2
(7/202)",,,,,,
MA 624,Partial Differential Equations,3,1.5,0,4,Jagmohan Tyagi(I+T),,,,"F1,F2
(7/107)","A2
(7/102)",,Course Plan,,,,
MA 626,Functional Analysis,3,1.5,0,4,Rohit Kumar Mishra(I+T),,,,"N1,N2
(7/102)","I1
(7/102)",,Course Plan,,,,
MA 627,Algebraic Topology,3,1.5,0,4,Arnab Saha(I+T),,,,"M1,M2
(11/206)","K1
(11/101)",,,,,,
MA 630 (A),Measure Theory & Probability,3,1.5,0,4,Chetan Pahlajani(I+T),,,,"B1,A1
(11/102)","I1
(11/102)",,Course Plan,,,,
MA 640,Integral Geometry in Imaging Sciences,3,0,0,4,Rohit Kumar Mishra(I),,,,"B1,B2
(13/125)",,,Course Plan,,,,
MA 642,Fourier Analysis on LCA Groups (first half),3,0,0,2,Bipul Saurabh(I),,,,"J1,J2
(7/207)",,,Course Plan,,,,
MA 636,Introduction to Riemannian Geometry,3,0,0,4,TBD(I),,,,"L1,L2
(7/103)",,,,,,,
MA 643,Numerical Analysis for Partial Differential Equations,3,0,0,4,Abhinav Jha(I),,,,"P1,P2
(13/124)",,,Course Plan,,,,
MA 691-II,Special Topics in Mathematics: Hilbert Modules,3,0,0,4,Gadadhar Misra(I),,,,"M1,M2
(7/105)",,,,,,,
MA 691-VIII,Special Topics in Mathematics: Spectral Graph Theory,3,0,0,4,Projesh Nath Choudhury(I),,,,"J1,J2
(7/104)",,,Course Plan,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Physics																	",,,,,,,,,,,,,,,,,
PH 502,Mathematical Methods of Physics - I,3,1,0,4,Prasanna Venkatesh Balasubramanian(I+T),,,,"G1,G2
(11/101)","A1
(10/102)",,,,,,BS
PH 503,Quantum Mechanics I,3,1,0,4,Arpan Bhattacharyya(I+T),,,,"E1,E2
(7/102)","B1
(7/107)",,Course Plan,,,,BS
PH 505,Classical Electrodynamics,3,1,0,4,Urjit Yajnik(I+T),,,,"C1,C2
(7/102)","H2
(7/102)",,Course plan,,,,BS
PH 508,Classical Mechanics,3,0,0,4,Rusa Mandal(I),,,,"D1,D2
(7/107)",,,Course plan,,,,BS
PH 510,Condensed Matter Physics,3,1,0,4,Abhisek Samanta(I+T),,,,"F1,F2
(11/205)","B2
(13/124)",,Course Plan CMP,,,,BS
PH 610,Quantum Field Theory I,3,0,0,4,Baradhwaj Coleppa(I),,,,"G1,G2
(7/106)",,,Course Plan QFT,,,,BS
PH 611,X-ray Scattering: Concepts and Applications,3,0,0,4,Rupak Banerjee(I),,,,"D1,D2
(7/104)",,,,,,,BS
PH 614,Atomic and Molecular Physics,3,0,0,4,Krishna Kanti Dey(I),,,,"I1,I2
(7/202)",,,,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,R.R. Puri(I),,,,"F1,F2
(7/210)",,,course plan ,,,,BS
PH 645,Topics in Soft and Active Matter Physics,3,0,0,4,Chandan Kumar(I),,,,"C1,C2
(7/104)",,,,,,,BS
PH 646,Advanced Statistical Physics,3,0,0,4,R.R. Puri(I),,,,"E1,E2
(11/206)",,,course plan,,,,BS
PH 648,Semiconductor Optoelectronics,3,0,0,4,Gopinadhan Kalon(I),,,,"M1,M2
(7/206)",,,,,,,BS
PH 651,Nanomagnetism and Spintronics,3,0,0,4,Naveen Sisodia(I),,,,"J1,J2
(7/201)",,,,,,,
PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,"Urjit Yajnik(I+T),Pinaki Banerjee(I+T)",,,,"M1,M2
(11/205)","J1
(11/205)",,course plan,,,,BS
PH 652,Gravitational Wave Astronomy,3,0,0,4,Anand Sengupta(I),,,,"I1,I2
(13/125)",,,,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Earth Sciences																	",,,,,,,,,,,,,,,,,
EH 605,Modeling of Earth System and Sustainability,3,0,0,4,R.N. Singh(I),50,,,"G1,G2
(7/102)",,,https://drive.google.com/file/d/1bRaz0EZmUZm_ti2qyMZGRTRvzff1gkyg/view?usp=drive_link,,,,BS
EH 401,Archaeology: Theory and Methods,3,0,0,4,Sharada V Channarayapatna(I),,,,"M1,M2
(7/102)",,,course contents and policies,,,,
EH 635,Archaeology: Theory and Methods,3,0,0,4,Sharada V Channarayapatna(I),,,,"M1,M2
(7/102)",,,,,,,
EH 601,Earth Surface Processes in the Anthropocene,3,0,1.5,4,Vikrant Jain(I+L),,,,"F1,F2
(7/102)",,"J1
(EH Lab)",,,,,BS
EH 608,Biodiversity Conservation and Sustainable Development,3,0,0,4,C.N. Pandey(I),50,,,"D1,D2
(7/108)",,,course plan,,,,BS
EH 618,Computational Tools for Earth System Modeling,0,0,6,4,Utsav Mannu(L),,,,,,"G1,I2,M1,P1
(10/104)",,,,,
EH 619,Geobiology,3,0,0,4,Sonal Khanolkar(I),,,,"E1,E2
(7/201)",,,,,,,
EH 620,Sequence Stratigraphy,1.5,0,3,4,Pankaj Khanna(I+L),,,,"F2
(11/101)",,"K2,L2
(11/101)",,,,,
EH 624,Applied Micropaleontology,3,0,0,4,Sonal Khanolkar(I),,,,"M1,M2
(7/107)",,,,,,,
EH 625,Environmental Geosciences,3,0,0,4,Achyut Mishra(I),,,,"P1,P2
(7/201)",,,Course details,,,,
EH 626,Reservoir Modelling and Simulation,3,0,0,4,Achyut Mishra(I),,,,"M1,M2
(7/201)",,,Course details,,,,
EH 627,Anthropocene: Human Impact on the Earth,3,0,0,4,Vikrant Jain(I),,,,"N1,N2
(13/125)",,,,,,,
EH 691-III,Special Topics in Earth Science: Microwave Remote Sensing,3,0,0,4,Prem Chand Pandey(I),,,,"C1,C2
(7/103)",,,Course plan,,,,BS
EH 691-XI,Special Topics in Earth Sciences: Stable Isotopes in Earth Systems,3,0,0,4,R. D. Deshpande(I),,,,"M1,M2
(7/202)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Cognitive Science,,,,,,,,,,,,,,,,,
CG 501,Computation and Cognition,3,0,0,4,Krishna Prasad Miyapuram(I),,,,"F1,F2
(7/201)",,,,,,,BS
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Mary Sunny(I),,,,"G1,G2
(7/207)",,,,,,,BS
CG 504,Research Methods in Cognitive Science,1.5,0,1.5,4,Krishna Prasad Miyapuram(I+L),,,,"E1,I1
(7/101)",,,,,,,BS
CG 505,Fundamental Neuroscience,3,0,0,4,Pratik Mutha(I),,,,"D1,D2
(11/101)",,,,,,,BS
CG 606,Philosophy of Mind,3,0,0,4,Jaison A. Manjaly(I),,,,"C1,C2
(Jayshree S Sheth Learning Theatre)",,,,,,,BS
CG 607,Emotion and Cognition,3,0,1,4,Meera Mary Sunny(I+T),,,,"B1,B2
(7/105)",,"H1
(7/105)",,,,,BS
CG 612,Neural Plasticity,3,0,0,4,Leslee Lazar(I),,,,"A1,A2
(11/206)",,,,,,,BS
ES 673,NeuroAI: Neuroscience & Artificial Intelligence ,3,0,0,4,Vaibhav Tripathi(I),,,,"E1,E2
(7/206)",,,Course Plan Final,,,,
CG 691-V,Special Topics in Cognitive Science: The Multilingual Brain,3,0,0,4,Jooyung Kim(I),,,,"C1,C2
(7/201)",,,,,,,
CG 691-VIII,Special Topics in Cognitive Sciences: Advanced Writing for Cognitive and Brain Sciences,1,0,3,4,Leslee Lazar(I+T),,,,"G1
(7/110)",,"I1,K1
(7/201)",,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,,,,
FP 602,Writing (For Engineering PhD students and MTech Students),1,0,3,4,Sharmita Lahiri(I+L),,,,"H1
(Jasubhai Auditorium)",,"P1,P2
(7/101,7/102,7/103,7/104,7/105,7/204,7/205,7/206)",,,,,
FP 602 (MA),Writing (PG Mathematics),1,0,3,4,Indranath Sengupta(I+L),,,,"H1
(Jayshree S Sheth Learning Theatre)",,"P1,P2
(7/108,7/109,7/110)",,,,,
HS 104,Foundational Sanskrit,3,1,0,4,Mana A Shah(I+T),,,,"L1,L2
(7/210)","J2
(7/103)",,https://docs.google.com/document/d/1nE3ISsoIzfwDzc-OcSw82HHaf_h8qIOMmaKJBaQhl4Y/edit?usp=sharing,,,,
HS 111,Urdu script and poetry,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"G1,G2
(7/206)","H2
(13/124)",,https://drive.google.com/file/d/1HwlXAVgHAIkaaCPwHk_-fg4Dcu9uETlg/view?usp=drive_link,,,,
HS 112,Urdu poetry interpretation,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"F1,F2
(7/105)","M1
(7/101)",,https://drive.google.com/file/d/1HwlXAVgHAIkaaCPwHk_-fg4Dcu9uETlg/view?usp=drive_link,,,,
HS 152,Japanese Language for Beginners,3,1,0,4,Sweta Mistry(I),,,,"M1,M2
(11/102)","J1
(11/102)",,Course Plan,,,,
HS 153,Advance Japanese Learning,3,1,0,4,Sweta Mistry(I),,,,"L1,L2
(11/206)","I1
(11/206)",,Course Plan,,,,
HS 154,Mandarin for Beginners,3,0,0,4,Hao Tsung Kao (I),,,,"M1,M2
(10/102)",,,,,,,
HS 155,Mandarin for Beginners - II,3,0,0,4,"Kao(I), Hao-Tsung(I)",,,,"L1,L2
(11/205)",,,,,,,
MS 408,Financial Considerations in Engineering Decisions,3,0,0,4,K Chelvakumar(I),,,,"M1,M2
(7/209)",,,,,,,
IN 304,Ancient Indian Technology,3,0,0,4,Alok Kumar Kanungo(I),,,,"K1,K2
(11/205,11/206)",,,https://drive.google.com/file/d/1N_NVxj1sORQmk_zXLa-apmPmSYxLGNxh/view?usp=sharing,,,,
IN 491,Special Topics: Foundations of User Experience,3,0,0,4,Nuno Guimaraes(I),,,,"M1,M2
(Surendra C Sheth Learning Theatre)",,,Course Plan Updated 2026-04-18,,,,
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,3,0,0,4,Argha Manna(I),,,,"I1,I2
(10/102)",,,,,,,
HS 491-XIII,Special Topics in HSS:  Drawing Connections: Environmental Perception and Visual Anthropology,3,0,0,4,Suman Choudhury(I),,,,"M1,M2
(Jagdish Patel Learning Theatre)",,,,,,,
HS 491-XIV,Special Topics in HSS: Appreciation of Classical Indian Music,3,0,0,4,Pandit Mahendra D. Toke(I),,,,"M1,M2
(Harsha Patel Learning Theatre)",,,,,,,
HS 510,Perspectives on Indian Civilization,3,0,0,4,V.N. Prabhakar(I),,,,"E1,E2
(7/205)",,,https://drive.google.com/file/d/139j3wUYmOV399Z9sBUt0RDI5eHZrQXCS/view?usp=sharing,,,,
HS 512,Political Thought,3,0,0,4,Tanka Bahadur Subba(I),,,,"G1,G2
(7/205)",,,https://docs.google.com/document/d/1-mZGG5iu3RfLAODe5jS6O8ywv9V_QMkg/edit?usp=drive_link&ouid=112722193455628803222&rtpof=true&sd=true,,,,
HS 515,The Politics of the Environment,3,0,0,4,Ambika Aiyadurai(I),,,,"C1,C2
(7/105)",,,,,,,
HS 520,Ancient Indian Architecture,3,0,0,4,V.N. Prabhakar(I),,,,"M1,M2
(7/103)",,,https://drive.google.com/file/d/1A8C0hu04YyalbTvT4cd55EelxYb6CFAK/view?usp=sharing,,,,
HS 523,Quantitative Research Methods in Social Sciences,3,1,0,4,Praharsh Mohanlal Patel(I+T),,,,"G1,G2
(7/202)","A1
(7/102)",,,,,,
HS 524,Qualitative Research Methods,3,0,0,4,Ambika Aiyadurai(I),,,,"M1,M2
(10/103)",,,,,,,
HS 526,"Education, Technology and Society",3,0,0,4,Aditi Kothiyal(I),,,,"J1,J2
(7/102)",,,https://drive.google.com/file/d/177KoxxgHJtDs3c5q9O0fdS-yg3TPBE8W/view?usp=sharing,,,,
HS 610,A Critical Journey Through Select Thoughts and Theories,3,0,0,6,Arnapurna Rath(I),,,,"D1,D2
(7/204)",,,A Critical Journey through Select Thoughts and Theories_January-April-2026_Sem-II.pdf,,,,
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath(I),,,,"M1,M2
(11/204)",,,https://sites.iitgn.ac.in/digitalstudies/,,,,
HS 633,Scarred Nations: Partition in the Indian Subcontinent,3,0,0,4,Madhumita Sengupta(I),,,,"L1,L2
(7/206)",,, https://iitgnacin-my.sharepoint.com/:b:/g/personal/madhumitasg_iitgn_ac_in/IQBdJ0hTz8IER6rXG_FvDVuNAaqflnhH2Zcubjz2xkzgmtg?e=2pXgXW,,,,
HS 647,"Literature, Theory and Social Context",3,0,0,4,Arka Chattopadhyay(I),,,,"E1,E2
(7/202)",,,https://docs.google.com/document/d/1bJY9XxKFeaMph9iXwo6s0XXEMsWDSGLk/edit?usp=drive_link&ouid=103637075532236333832&rtpof=true&sd=true,,,,
HS 651,Critical Perspectives in Sociology,3,0,0,4,Tanka Bahadur Subba(I),,,,"J1,J2
(7/108)",,,https://docs.google.com/document/d/1nOk4PSP-NOLFFYGJxB7eqqQy7ZY_Ypri/edit?usp=drive_link&ouid=112722193455628803222&rtpof=true&sd=true,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
